Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Nitrogen,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Beta-carotene equivalents (provitamin A),Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),"Folate, natural",Total folates,Dietary folate equivalents,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,745,62,37,5.92,3.1,1.6,5,0.8,2.28,21,210,251,25.5,28,7.66,0,10,10,2,0.019,0.126,2.22,5.1,7.31,0.1,0.9,18,18,18,1,0.4,0.8,4.59,0.5,0.54,0.08,0.01,0.63,0.03,0.36,1.12,0.02,0.08,1.05,1.22,0.18,0.04,8.78,5.99,21.28,81.9,32.31,7.55,51.67,6.71,0.43,90.689,108.4,73,300
0,587,71,27.3,4.37,3.3,1.2,5,1.2,1.69,24,237,337,18.7,38,5.62,1,10,10,2,0.03,0.109,2.98,3.76,6.74,0.21,1.2,21,21,21,1,0.3,0.7,3.76,0.5,0.5,0.1,0.02,0.7,0.03,0.39,1.24,0.03,0.1,1.17,1.36,0.14,0.04,8.29,4.4,15.64,60.18,24.08,5.54,37.96,4.93,0.34,66.972,129.04,54,221
0,667,65.3,31.3,5.01,3.7,1.3,4,1.7,2.78,23,258,358,7.4,47,7.13,0,12,12,2,0.03,0.08,2.98,4.32,7.29,0.07,1.3,25,25,25,0,0.2,0.1,0.7,0.7,0.71,0.1,0.02,0.69,0.03,0.38,1.21,0.03,0.14,1.42,1.66,0.15,0.04,10.28,5.16,17.1,67.32,31.93,7.54,48.81,7.24,0.38,87.984,117.24,77,254
0,763,61.6,36.7,5.88,3.7,1.6,5,0.8,2.27,21,208,250,25.2,28,7.58,0,10,10,2,0.019,0.125,2.21,5.07,7.27,0.1,0.9,18,18,18,1,0.4,0.8,4.55,0.5,0.55,0.11,0.02,0.76,0.04,0.43,1.36,0.03,0.12,1.3,1.52,0.18,0.04,9.96,5.92,21.03,80.93,31.93,7.46,51.47,6.63,0.44,90.031,140.41,72,298
0,474,72.8,22.2,3.55,2.6,1.2,4,1.2,1.9,24,200,340,12,56,4.6,0,10,10,2,0.06,0.2,3,3.06,6.06,0.12,0.9,21,21,21,1,0.3,0.7,3.8,0.5,0.5,0.1,0.01,0.51,0.02,0.28,0.92,0.02,0.08,0.85,1.01,0.13,0.04,7.53,4.86,16.6,59.59,37.08,3.26,46.49,7.29,0.36,90.859,87.69,45,180
0,650,65,31.9,5.1,2.9,1.3,6,1.7,2.6,30,260,400,13,48,6,0,12,12,2,0.03,0,1,4.39,5.39,0.09,1.1,25,25,25,0,0.2,0.1,0.7,0.7,0.7,0.06,0.01,0.52,0.03,0.34,0.97,0.01,0.08,1.13,1.28,0.16,0.01,8.9,6,17.9,69.57,12.4,13.1,39.13,6.24,0.35,57.777,64.05,81,258
0,653,62.5,30.6,4.9,3.6,1.7,5,0.8,2.62,22,179,258,16.6,42,6.34,0,10,10,2,0.037,0.234,2.28,4.22,6.49,0.06,0.7,19,19,19,1,0.4,0.9,4.72,0.6,0.55,0.14,0.02,0.71,0.03,0.38,1.28,0.03,0.11,1.18,1.39,0.18,0.06,10.38,6.7,22.9,82.19,51.15,4.5,64.12,10.05,0.5,125.323,120.95,62,248
0,598,69.9,21.6,3.45,6.2,1.2,5,1.3,1.86,23,193,329,11.3,54,4.37,2,10,10,4,0.056,0.191,2.94,2.98,5.91,0.13,1,20,20,20,1,0.3,0.7,3.63,0.5,0.51,0.26,0.04,1.39,0.06,0.71,2.46,0.08,0.24,2.31,2.71,0.18,0.06,14.02,4.56,15.57,55.89,36.07,3.06,43.61,6.84,0.42,86.514,269.56,46,175
0,740,63,31,4.96,5.8,1.3,6,1.7,2.51,29,251,387,12.3,47,5.74,1,12,12,3,0.028,0.004,1.02,4.27,5.29,0.11,1.2,24,24,24,0,0.2,0.1,0.7,0.7,0.73,0.18,0.03,1.16,0.06,0.65,2.09,0.06,0.22,2.33,2.69,0.19,0.03,14.49,5.68,16.93,65.79,11.73,12.38,38.99,5.9,0.39,56.623,218.75,80,251
0,744,60.6,29.8,4.77,6.4,1.6,5,0.9,2.53,21,175,253,15.7,42,6.07,1,10,10,3,0.035,0.226,2.23,4.1,6.33,0.08,0.8,18,18,18,1,0.4,0.8,4.49,0.6,0.6,0.25,0.03,1.34,0.06,0.69,2.38,0.08,0.26,2.37,2.8,0.21,0.08,15.89,6.34,21.65,77.72,48.37,4.26,62.62,9.5,0.54,120.494,272.56,62,241
0,707,67.3,21,3.36,9.5,1.2,5,1.3,1.83,22,187,319,10.6,52,4.17,5,10,10,6,0.053,0.182,2.88,2.89,5.77,0.14,1.1,20,20,20,1,0.4,0.6,3.47,0.5,0.52,0.4,0.06,2.17,0.1,1.09,3.81,0.13,0.38,3.59,4.21,0.23,0.08,19.75,4.29,14.66,52.63,35.18,2.88,41.06,6.44,0.48,82.68,430.02,47,170
0,791,61.8,30.5,4.88,7.4,1.3,6,1.8,2.46,28,246,380,11.9,46,5.6,2,12,12,4,0.027,0.007,1.03,4.2,5.23,0.12,1.2,24,24,24,0,0.2,0.1,0.69,0.8,0.75,0.25,0.04,1.53,0.08,0.82,2.72,0.09,0.31,3,3.48,0.21,0.04,17.62,5.49,16.38,63.66,11.35,11.98,38.91,5.71,0.42,55.976,305.49,80,247
0,795,59.5,29.3,4.69,8,1.6,5,1,2.48,21,173,250,15.1,41,5.92,2,11,11,3,0.034,0.221,2.2,4.03,6.24,0.09,0.9,18,18,18,1,0.4,0.8,4.37,0.6,0.62,0.32,0.04,1.7,0.08,0.86,3,0.11,0.34,3.04,3.59,0.23,0.09,18.98,6.13,20.95,75.21,46.81,4.12,61.78,9.2,0.56,117.787,357.57,62,237
0,495,73.4,22.6,3.62,3,1.2,4,1.2,1.85,23,195,350,16,59,5.6,0,10,10,2,0.06,0.2,3,3.11,6.11,0.1,1.3,21,21,21,1,0.3,0.7,3.8,0.5,0.5,0.12,0.01,0.59,0.02,0.32,1.07,0.03,0.09,0.98,1.16,0.15,0.05,8.68,5.61,19.15,68.76,42.79,3.76,53.64,8.41,0.41,104.837,101.18,56,183
0,803,60.1,31.8,5.09,7.1,1.5,5,1.3,2.91,23,215,279,15.8,48,5.82,0,11,11,2,0.039,0.117,1.64,4.39,6.02,0.06,1.5,22,22,22,1,0.3,0.5,2.71,0.6,0.63,0.19,0.03,1.3,0.08,0.82,2.41,0.04,0.2,2.66,3.03,0.39,0.05,21.45,14.32,44.17,168.24,48.25,26.18,103.57,16.44,0.88,168.254,177.53,58,258
0,646,69.8,21.8,3.49,7.4,1.2,4,1.3,1.81,22,187,335,14.7,56,5.23,3,10,10,5,0.056,0.189,2.92,2.99,5.92,0.12,1.4,20,20,20,1,0.4,0.6,3.59,0.5,0.52,0.31,0.04,1.66,0.08,0.84,2.94,0.1,0.28,2.75,3.23,0.21,0.07,16.54,5.17,17.66,63.4,41.03,3.47,49.46,7.75,0.49,98.252,322.91,56,176
0,903,57.9,30.7,4.91,10.3,1.4,6,1.3,2.78,22,206,271,14.7,46,5.53,1,11,11,3,0.036,0.116,1.63,4.22,5.85,0.08,1.6,21,21,21,1,0.3,0.5,2.59,0.7,0.67,0.32,0.05,2.04,0.11,1.16,3.68,0.1,0.37,4.02,4.64,0.4,0.07,27.37,13.26,40.93,155.84,45.04,24.15,98.56,15.25,0.9,158.854,360.28,59,248
0,731,67.7,21.3,3.42,10,1.2,4,1.3,1.78,21,182,327,14.1,55,5.04,5,10,10,6,0.053,0.182,2.88,2.94,5.82,0.12,1.5,20,20,20,1,0.4,0.6,3.47,0.5,0.53,0.42,0.06,2.27,0.11,1.14,4,0.14,0.39,3.76,4.41,0.25,0.08,21.02,4.94,16.86,60.54,40.15,3.32,47.23,7.4,0.53,94.786,449.06,56,173
0,942,57.1,30.3,4.84,11.5,1.4,6,1.4,2.73,22,204,268,14.3,46,5.41,2,11,11,4,0.035,0.115,1.62,4.17,5.79,0.09,1.6,21,21,21,1,0.3,0.4,2.53,0.7,0.69,0.38,0.06,2.32,0.12,1.29,4.17,0.12,0.44,4.54,5.25,0.41,0.08,29.69,12.94,39.94,152.09,43.82,23.61,97.1,14.87,0.91,155.79,428.99,59,245
0,517,74.1,23,3.68,3.4,1.2,4,1.2,1.8,22,190,360,20,62,6.6,0,10,10,2,0.06,0.2,3,3.16,6.17,0.08,1.7,21,21,21,1,0.3,0.7,3.8,0.5,0.5,0.13,0.02,0.67,0.03,0.36,1.21,0.03,0.11,1.12,1.32,0.17,0.06,9.84,6.35,21.71,77.92,48.49,4.27,60.79,9.53,0.47,118.814,114.67,67,186
0,953,57.7,33,5.28,10.6,1.3,6,1.7,3.2,24,250,300,15,53,5.3,0,12,12,2,0.04,0,1,4.54,5.54,0.06,2.3,25,25,25,0,0.2,0.1,0.7,0.7,0.7,0.23,0.04,1.89,0.12,1.25,3.54,0.04,0.29,4.14,4.66,0.59,0.04,32.53,21.94,65.44,254.29,45.34,47.87,143.02,22.82,1.27,211.184,234.1,54,267
0,693,69.7,22,3.52,8.6,1.2,4,1.3,1.76,21,181,342,18.2,59,6.09,4,10,10,5,0.055,0.187,2.91,3.03,5.94,0.1,1.8,20,20,20,1,0.4,0.6,3.55,0.5,0.52,0.36,0.05,1.93,0.09,0.98,3.42,0.11,0.33,3.2,3.76,0.24,0.08,19.06,5.78,19.75,70.91,46,3.88,55.32,8.67,0.55,109.99,376.25,66,178
0,1062,55.3,31.6,5.05,14.2,1.3,6,1.8,3.02,23,238,289,13.8,51,4.98,2,12,12,4,0.037,0.006,1.03,4.35,5.38,0.08,2.3,24,24,24,0,0.2,0.1,0.69,0.7,0.75,0.39,0.06,2.73,0.16,1.63,4.98,0.12,0.49,5.66,6.47,0.6,0.07,38.86,20.19,60.21,233.95,41.72,44.04,134.5,20.99,1.26,197.214,448,55,256
