Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),Total folates,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Vitamin E,Total saturated fatty acids,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,707,67.3,21,9.5,1.2,5,1.3,1.83,22,187,319,10.6,52,4.17,5,10,6,0.053,0.182,2.88,2.89,5.77,0.14,1.1,20,1,0.4,0.6,3.47,0.52,3.81,14.66,52.63,35.18,2.88,41.06,6.44,0.48,82.68,430.02,47,170
0,791,61.8,30.5,7.4,1.3,6,1.8,2.46,28,246,380,11.9,46,5.6,2,12,4,0.027,0.007,1.03,4.2,5.23,0.12,1.2,24,0,0.2,0.1,0.69,0.75,2.72,16.38,63.66,11.35,11.98,38.91,5.71,0.42,55.976,305.49,80,247
0,795,59.5,29.3,8,1.6,5,1,2.48,21,173,250,15.1,41,5.92,2,11,3,0.034,0.221,2.2,4.03,6.24,0.09,0.9,18,1,0.4,0.8,4.37,0.62,3,20.95,75.21,46.81,4.12,61.78,9.2,0.56,117.787,357.57,62,237
0,495,73.4,22.6,3,1.2,4,1.2,1.85,23,195,350,16,59,5.6,0,10,2,0.06,0.2,3,3.11,6.11,0.1,1.3,21,1,0.3,0.7,3.8,0.5,1.07,19.15,68.76,42.79,3.76,53.64,8.41,0.41,104.837,101.18,56,183
0,803,60.1,31.8,7.1,1.5,5,1.3,2.91,23,215,279,15.8,48,5.82,0,11,2,0.039,0.117,1.64,4.39,6.02,0.06,1.5,22,1,0.3,0.5,2.71,0.63,2.41,44.17,168.24,48.25,26.18,103.57,16.44,0.88,168.254,177.53,58,258
0,646,69.8,21.8,7.4,1.2,4,1.3,1.81,22,187,335,14.7,56,5.23,3,10,5,0.056,0.189,2.92,2.99,5.92,0.12,1.4,20,1,0.4,0.6,3.59,0.52,2.94,17.66,63.4,41.03,3.47,49.46,7.75,0.49,98.252,322.91,56,176
0,903,57.9,30.7,10.3,1.4,6,1.3,2.78,22,206,271,14.7,46,5.53,1,11,3,0.036,0.116,1.63,4.22,5.85,0.08,1.6,21,1,0.3,0.5,2.59,0.67,3.68,40.93,155.84,45.04,24.15,98.56,15.25,0.9,158.854,360.28,59,248
0,731,67.7,21.3,10,1.2,4,1.3,1.78,21,182,327,14.1,55,5.04,5,10,6,0.053,0.182,2.88,2.94,5.82,0.12,1.5,20,1,0.4,0.6,3.47,0.53,4,16.86,60.54,40.15,3.32,47.23,7.4,0.53,94.786,449.06,56,173
0,942,57.1,30.3,11.5,1.4,6,1.4,2.73,22,204,268,14.3,46,5.41,2,11,4,0.035,0.115,1.62,4.17,5.79,0.09,1.6,21,1,0.3,0.4,2.53,0.69,4.17,39.94,152.09,43.82,23.61,97.1,14.87,0.91,155.79,428.99,59,245
0,517,74.1,23,3.4,1.2,4,1.2,1.8,22,190,360,20,62,6.6,0,10,2,0.06,0.2,3,3.16,6.17,0.08,1.7,21,1,0.3,0.7,3.8,0.5,1.21,21.71,77.92,48.49,4.27,60.79,9.53,0.47,118.814,114.67,67,186
0,953,57.7,33,10.6,1.3,6,1.7,3.2,24,250,300,15,53,5.3,0,12,2,0.04,0,1,4.54,5.54,0.06,2.3,25,0,0.2,0.1,0.7,0.7,3.54,65.44,254.29,45.34,47.87,143.02,22.82,1.27,211.184,234.1,54,267
0,693,69.7,22,8.6,1.2,4,1.3,1.76,21,181,342,18.2,59,6.09,4,10,5,0.055,0.187,2.91,3.03,5.94,0.1,1.8,20,1,0.4,0.6,3.55,0.52,3.42,19.75,70.91,46,3.88,55.32,8.67,0.55,109.99,376.25,66,178
0,1062,55.3,31.6,14.2,1.3,6,1.8,3.02,23,238,289,13.8,51,4.98,2,12,4,0.037,0.006,1.03,4.35,5.38,0.08,2.3,24,0,0.2,0.1,0.69,0.75,4.98,60.21,233.95,41.72,44.04,134.5,20.99,1.26,197.214,448,55,256
0,755,68.2,21.7,10.5,1.2,4,1.3,1.74,20,177,336,17.6,58,5.91,5,10,7,0.053,0.182,2.88,2.98,5.86,0.11,1.8,20,1,0.4,0.6,3.46,0.53,4.19,19.07,68.45,45.12,3.75,53.4,8.37,0.58,106.892,468.09,66,175
0,1089,54.7,31.2,15.1,1.3,6,1.8,2.98,23,235,286,13.5,51,4.9,2,12,4,0.036,0.008,1.04,4.3,5.34,0.09,2.3,24,0,0.2,0.1,0.69,0.76,5.34,58.92,228.97,40.83,43.1,132.42,20.54,1.26,193.792,500.41,55,253
0,574,70.2,27.9,2.7,1.2,4,1.2,1.7,24,240,340,19,38,5.7,0,10,2,0.03,0.11,3,3.84,6.84,0.19,1.3,21,1,0.3,0.7,3.8,0.5,0.96,18.28,70.34,27.75,6.48,44.37,5.76,0.37,77.881,93.09,54,226
0,653,65.6,32.1,2.9,1.3,4,1.7,2.8,23,260,360,15,47,7.2,0,12,2,0.03,0.08,3,4.42,7.42,0.01,0.1,25,0,0.2,0.1,0.7,0.7,0.93,16.44,64.74,30.71,7.25,46.54,6.96,0.36,84.208,80.73,77,260
0,751,61,36.5,3.5,1.6,5,0.8,2.22,20,204,244,24.8,27,7.45,0,10,2,0.018,0.122,2.16,5.02,7.18,0.09,1,18,1,0.4,0.8,4.47,0.52,1.26,23.89,91.94,36.27,8.47,58,7.53,0.48,101.805,121.69,71,295
