Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
12.1,1.94,13,13,10,10,10,0.7,0.7,2.67,0.38,14.69,0.72,7.22,25.68,0.96,2.61,24.29,28.42,0.96,0.31,112.25,0
15.3,2.45,13,13,12,12,12,1.3,1.3,2.23,0.34,12.4,0.61,6,21.58,0.98,2.74,23.16,27.28,0.71,0.36,111.63,0
21.9,3.5,8,8,0,0,0,0,0,0.01,0,0.12,0,0.07,0.2,0,0.02,0.2,0.23,0.04,0,8.79,0
33.8,5.41,2,2,0,0,0,0,0,0.07,0.01,0.58,0.03,0.34,1.04,0.02,0.1,0.98,1.11,0.14,0,30.78,0
21.6,3.46,8,8,0,0,0,0,0.02,0.09,0.01,0.55,0.03,0.28,0.97,0.03,0.1,0.92,1.08,0.07,0.01,11.9,0
32.9,5.26,3,3,1,1,1,0.1,0.06,0.18,0.03,1.18,0.06,0.62,2.07,0.07,0.23,2.09,2.42,0.17,0.02,34.82,0
30.7,4.9,4,4,2,2,2,0.2,0.22,0.44,0.07,2.59,0.13,1.3,4.54,0.18,0.55,4.75,5.56,0.24,0.06,44.52,0
21.3,3.41,8,8,1,1,1,0,0.04,0.17,0.02,0.99,0.05,0.5,1.73,0.06,0.18,1.65,1.92,0.09,0.02,15,0
27.6,4.41,10,10,21,21,21,0.5,0.5,0.06,0.01,0.47,0.02,0.27,0.84,0.01,0.06,0.79,0.91,0.13,0.03,6.57,4.48
31.5,5.04,12,12,25,25,25,0.7,0.7,0.07,0.01,0.55,0.03,0.31,0.98,0.02,0.11,1.16,1.36,0.15,0.03,9.11,5.22
37,5.92,10,10,18,18,18,0.5,0.54,0.08,0.01,0.63,0.03,0.36,1.12,0.02,0.08,1.05,1.22,0.18,0.04,8.78,5.99
27.3,4.37,10,10,21,21,21,0.5,0.5,0.1,0.02,0.7,0.03,0.39,1.24,0.03,0.1,1.17,1.36,0.14,0.04,8.29,4.4
31.3,5.01,12,12,25,25,25,0.7,0.71,0.1,0.02,0.69,0.03,0.38,1.21,0.03,0.14,1.42,1.66,0.15,0.04,10.28,5.16
36.7,5.88,10,10,18,18,18,0.5,0.55,0.11,0.02,0.76,0.04,0.43,1.36,0.03,0.12,1.3,1.52,0.18,0.04,9.96,5.92
22.2,3.55,10,10,21,21,21,0.5,0.5,0.1,0.01,0.51,0.02,0.28,0.92,0.02,0.08,0.85,1.01,0.13,0.04,7.53,4.86
31.9,5.1,12,12,25,25,25,0.7,0.7,0.06,0.01,0.52,0.03,0.34,0.97,0.01,0.08,1.13,1.28,0.16,0.01,8.9,6
30.6,4.9,10,10,19,19,19,0.6,0.55,0.14,0.02,0.71,0.03,0.38,1.28,0.03,0.11,1.18,1.39,0.18,0.06,10.38,6.7
21.6,3.45,10,10,20,20,20,0.5,0.51,0.26,0.04,1.39,0.06,0.71,2.46,0.08,0.24,2.31,2.71,0.18,0.06,14.02,4.56
31,4.96,12,12,24,24,24,0.7,0.73,0.18,0.03,1.16,0.06,0.65,2.09,0.06,0.22,2.33,2.69,0.19,0.03,14.49,5.68
29.8,4.77,10,10,18,18,18,0.6,0.6,0.25,0.03,1.34,0.06,0.69,2.38,0.08,0.26,2.37,2.8,0.21,0.08,15.89,6.34
21,3.36,10,10,20,20,20,0.5,0.52,0.4,0.06,2.17,0.1,1.09,3.81,0.13,0.38,3.59,4.21,0.23,0.08,19.75,4.29
30.5,4.88,12,12,24,24,24,0.8,0.75,0.25,0.04,1.53,0.08,0.82,2.72,0.09,0.31,3,3.48,0.21,0.04,17.62,5.49
29.3,4.69,11,11,18,18,18,0.6,0.62,0.32,0.04,1.7,0.08,0.86,3,0.11,0.34,3.04,3.59,0.23,0.09,18.98,6.13
22.6,3.62,10,10,21,21,21,0.5,0.5,0.12,0.01,0.59,0.02,0.32,1.07,0.03,0.09,0.98,1.16,0.15,0.05,8.68,5.61
31.8,5.09,11,11,22,22,22,0.6,0.63,0.19,0.03,1.3,0.08,0.82,2.41,0.04,0.2,2.66,3.03,0.39,0.05,21.45,14.32
21.8,3.49,10,10,20,20,20,0.5,0.52,0.31,0.04,1.66,0.08,0.84,2.94,0.1,0.28,2.75,3.23,0.21,0.07,16.54,5.17
30.7,4.91,11,11,21,21,21,0.7,0.67,0.32,0.05,2.04,0.11,1.16,3.68,0.1,0.37,4.02,4.64,0.4,0.07,27.37,13.26
21.3,3.42,10,10,20,20,20,0.5,0.53,0.42,0.06,2.27,0.11,1.14,4,0.14,0.39,3.76,4.41,0.25,0.08,21.02,4.94
30.3,4.84,11,11,21,21,21,0.7,0.69,0.38,0.06,2.32,0.12,1.29,4.17,0.12,0.44,4.54,5.25,0.41,0.08,29.69,12.94
23,3.68,10,10,21,21,21,0.5,0.5,0.13,0.02,0.67,0.03,0.36,1.21,0.03,0.11,1.12,1.32,0.17,0.06,9.84,6.35
33,5.28,12,12,25,25,25,0.7,0.7,0.23,0.04,1.89,0.12,1.25,3.54,0.04,0.29,4.14,4.66,0.59,0.04,32.53,21.94
22,3.52,10,10,20,20,20,0.5,0.52,0.36,0.05,1.93,0.09,0.98,3.42,0.11,0.33,3.2,3.76,0.24,0.08,19.06,5.78
31.6,5.05,12,12,24,24,24,0.7,0.75,0.39,0.06,2.73,0.16,1.63,4.98,0.12,0.49,5.66,6.47,0.6,0.07,38.86,20.19
21.7,3.47,10,10,20,20,20,0.5,0.53,0.44,0.06,2.38,0.11,1.2,4.19,0.14,0.41,3.93,4.61,0.27,0.09,22.3,5.58
31.2,5,12,12,24,24,24,0.8,0.76,0.43,0.07,2.94,0.17,1.72,5.34,0.14,0.54,6.03,6.92,0.6,0.08,40.4,19.76
27.9,4.46,10,10,21,21,21,0.5,0.5,0.07,0.01,0.54,0.03,0.31,0.96,0.02,0.07,0.9,1.05,0.15,0.04,7.54,5.14
32.1,5.14,12,12,25,25,25,0.7,0.7,0.07,0.01,0.53,0.03,0.29,0.93,0.02,0.1,1.11,1.29,0.14,0.03,8.66,4.97
36.5,5.84,10,10,18,18,18,0.5,0.52,0.09,0.01,0.71,0.03,0.41,1.26,0.02,0.09,1.18,1.37,0.2,0.05,9.86,6.72
27.6,4.41,10,10,21,21,21,0.5,0.51,0.13,0.02,0.83,0.04,0.46,1.48,0.04,0.12,1.39,1.62,0.17,0.04,9.72,5.04
31.8,5.1,12,12,25,25,25,0.7,0.71,0.1,0.02,0.7,0.04,0.38,1.24,0.04,0.14,1.44,1.68,0.15,0.04,10.19,4.89
36.2,5.78,10,10,18,18,18,0.5,0.54,0.13,0.02,0.88,0.04,0.49,1.56,0.04,0.13,1.51,1.75,0.2,0.05,11.38,6.62
22.2,3.55,10,10,21,21,21,0.9,0.9,0.16,0.02,1.1,0.06,0.61,1.95,0.04,0.16,1.78,2.07,0.26,0.05,13.67,6.1
31.9,5.1,12,12,25,25,25,0.7,0.7,0.14,0.02,1.02,0.05,0.56,1.8,0.04,0.2,2.15,2.49,0.26,0.04,16.93,9.07
21.7,3.47,10,10,20,20,20,0.9,0.89,0.29,0.04,1.78,0.09,0.94,3.14,0.09,0.28,2.91,3.39,0.29,0.07,18.6,5.79
31.5,5.04,12,12,25,25,25,0.7,0.72,0.19,0.03,1.29,0.07,0.69,2.27,0.06,0.26,2.65,3.08,0.27,0.05,19.18,8.85
21.5,3.43,10,10,20,20,20,0.9,0.88,0.34,0.05,2.1,0.1,1.1,3.7,0.11,0.34,3.44,4.01,0.31,0.07,20.92,5.65
30.8,4.93,12,12,24,24,24,0.7,0.74,0.28,0.04,1.77,0.09,0.92,3.1,0.1,0.36,3.53,4.12,0.28,0.06,23.17,8.47
22.9,3.66,0,0,21,21,21,0,0,0.12,0.02,0.94,0.05,0.62,1.76,0.02,0.14,1.47,1.66,0.1,0.03,0,0
32.3,5.17,35,35,25,25,25,0,0,0.18,0.04,1.84,0.11,1.36,3.55,0.04,0.25,2.9,3.27,0.15,0.04,0,0
28.6,4.58,0,0,17,17,17,0,0,0.14,0.03,1.17,0.07,0.78,2.2,0.03,0.18,1.84,2.07,0.12,0.03,0,0
22.4,3.58,0,0,21,21,21,0,0,0.28,0.05,2.02,0.13,1.34,3.83,0.06,0.34,3.34,3.8,0.17,0.04,0,0
29.5,4.72,35,35,25,25,25,0,0,0.48,0.09,3.96,0.25,2.73,7.52,0.11,0.59,5.95,6.81,0.23,0.05,0,0
22.5,3.6,0,0,10,10,10,0,0,0.35,0.07,2.49,0.15,1.65,4.74,0.07,0.39,3.73,4.26,0.17,0.06,0,0
27.6,4.42,0,0,12,12,12,0,0,0.39,0.08,3.22,0.2,2.09,5.99,0.08,0.47,5.08,5.77,0.16,0.04,0,0
23,3.68,10,10,21,21,21,0.9,0.9,0.11,0.02,0.79,0.04,0.42,1.38,0.03,0.11,1.3,1.5,0.16,0.02,8.92,6.62
29.8,4.77,12,12,25,25,25,0.7,0.7,0.06,0.01,0.72,0.03,0.33,1.16,0.03,0.19,1.69,2.01,0.23,0.04,14.04,7.85
22.8,3.65,10,10,21,21,21,0.9,0.89,0.16,0.02,1.05,0.05,0.55,1.84,0.05,0.16,1.74,2,0.18,0.02,10.86,6.51
29.4,4.7,12,12,25,25,25,0.7,0.72,0.13,0.02,1.07,0.05,0.5,1.78,0.06,0.27,2.34,2.76,0.24,0.04,16.97,7.63
22.1,3.53,10,10,20,20,20,0.9,0.88,0.33,0.05,2,0.1,1.01,3.5,0.11,0.33,3.3,3.84,0.23,0.04,17.92,6.06
28.6,4.58,12,12,24,24,24,0.7,0.75,0.24,0.04,1.66,0.08,0.79,2.81,0.11,0.4,3.42,4.04,0.27,0.06,21.9,7.22
21,3.36,10,10,21,21,21,0.9,0.9,0.02,0,0.31,0.02,0.22,0.58,0,0.03,0.56,0.63,0.12,0.03,5.03,2.62
31.8,5.09,12,12,25,25,25,0.2,0.2,0.07,0.01,0.4,0.01,0.2,0.69,0.02,0.07,0.72,0.86,0.06,0.03,5.28,2.91
20.5,3.29,10,10,20,20,20,0.9,0.89,0.16,0.02,1.05,0.05,0.58,1.86,0.05,0.16,1.77,2.05,0.17,0.04,10.5,2.48
31.4,5.02,12,12,25,25,25,0.2,0.23,0.12,0.02,0.69,0.03,0.34,1.2,0.04,0.14,1.28,1.51,0.07,0.04,7.89,2.84
20.4,3.26,10,10,20,20,20,0.9,0.89,0.22,0.03,1.35,0.06,0.72,2.38,0.07,0.22,2.26,2.63,0.18,0.05,12.75,2.43
31,4.96,12,12,24,24,24,0.3,0.25,0.17,0.02,0.98,0.04,0.48,1.69,0.06,0.2,1.81,2.13,0.09,0.04,10.4,2.77
20.4,3.26,10,10,21,21,21,0.9,0.9,0.07,0.01,0.56,0.02,0.34,1,0.02,0.08,0.94,1.1,0.14,0.05,7.75,3.69
32,5.12,12,12,25,25,25,0.2,0.2,0.12,0.02,0.81,0.04,0.5,1.5,0.04,0.14,1.66,1.94,0.23,0.06,12.76,6.73
20,3.2,10,10,20,20,20,0.9,0.89,0.19,0.03,1.22,0.06,0.66,2.16,0.06,0.2,2.03,2.38,0.18,0.06,12.66,3.52
31,4.96,12,12,24,24,24,0.3,0.26,0.24,0.04,1.49,0.08,0.82,2.67,0.09,0.29,2.92,3.42,0.26,0.08,18.54,6.34
18.9,3.02,11,11,19,19,19,0.9,0.87,0.54,0.08,3.1,0.15,1.58,5.44,0.19,0.53,5.14,6.01,0.29,0.1,26.56,3.03
29.9,4.79,12,12,23,23,23,0.3,0.34,0.38,0.06,2.26,0.11,1.19,4,0.15,0.46,4.34,5.1,0.29,0.1,25.09,5.89
