Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
26.5,4.24,0,0,15,15,15,0.4,0.36,0.35,0.07,2.14,0.15,1.84,4.56,0.02,0.17,3.9,4.26,0.42,0.19,29.32,11.1
21.5,3.44,0,0,17,17,17,0.4,0.4,0.08,0.01,0.66,0.04,0.48,1.28,0,0.06,1.6,1.72,0.22,0.04,13.21,11.29
29.2,4.67,0,0,17,17,17,0.2,0.25,0.14,0.03,1.09,0.06,0.74,2.06,0.01,0.1,2.14,2.34,0.34,0.1,16.47,12.96
20.8,3.32,0,0,16,16,16,0.4,0.45,0.23,0.04,1.36,0.1,1.19,2.93,0.01,0.1,2.81,3.01,0.3,0.1,21.06,10.53
28.4,4.54,0,0,16,16,16,0.3,0.29,0.26,0.05,1.7,0.11,1.38,3.51,0.02,0.14,3.18,3.46,0.39,0.15,24.03,12.13
19.9,3.18,0,0,15,15,15,0.5,0.51,0.41,0.07,2.24,0.18,2.08,4.98,0.02,0.16,4.32,4.61,0.4,0.18,30.85,9.62
27.5,4.4,0,0,15,15,15,0.3,0.32,0.39,0.08,2.32,0.16,2.01,4.96,0.02,0.18,4.22,4.59,0.44,0.2,31.6,11.29
21.9,3.5,0,0,17,17,17,0.4,0.4,0.09,0.02,0.79,0.05,0.58,1.52,0,0.07,1.9,2.05,0.26,0.05,15.71,13.43
30.8,4.94,0,0,16,16,16,0.5,0.45,0.13,0.02,1.11,0.08,0.81,2.15,0.01,0.09,2.68,2.89,0.37,0.06,22.13,18.92
21.2,3.39,0,0,16,16,16,0.4,0.45,0.24,0.04,1.46,0.11,1.26,3.11,0.01,0.11,3.06,3.28,0.34,0.11,23.19,12.55
29.9,4.79,0,0,16,16,16,0.5,0.47,0.25,0.04,1.72,0.12,1.43,3.57,0.01,0.14,3.67,3.96,0.42,0.12,29.21,17.73
20.4,3.27,0,0,15,15,15,0.5,0.49,0.39,0.07,2.16,0.17,1.97,4.76,0.01,0.15,4.26,4.56,0.41,0.17,30.97,11.64
29.2,4.67,0,0,15,15,15,0.5,0.49,0.35,0.06,2.2,0.17,1.92,4.7,0.02,0.17,4.45,4.82,0.46,0.16,34.84,16.78
23.9,3.82,0,0,17,17,17,0.3,0.3,0.07,0.01,0.35,0.03,0.35,0.82,0,0.02,0.62,0.66,0.04,0.03,4.12,0
34.6,5.54,0,0,17,17,17,0.2,0.2,0.17,0.03,0.87,0.07,0.86,2,0.01,0.06,1.49,1.62,0.09,0.07,10.9,0
22.9,3.66,0,0,16,16,16,0.4,0.36,0.24,0.04,1.17,0.1,1.17,2.73,0.01,0.08,2.07,2.2,0.15,0.1,13.76,0
33.4,5.34,0,0,16,16,16,0.2,0.24,0.29,0.06,1.51,0.12,1.5,3.48,0.02,0.1,2.58,2.81,0.16,0.13,18.94,0
21.7,3.47,0,0,15,15,15,0.4,0.43,0.45,0.08,2.15,0.18,2.14,5,0.01,0.14,3.81,4.04,0.27,0.19,25.25,0
